City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Ancud,CL,2022-11-10 22:57:10,-41.8697,-73.8203,284.78,94,100,2.77
164,Tiksi,RU,2022-11-10 22:57:11,71.6872,128.8694,247.21,100,93,2.35
165,Longyearbyen,SJ,2022-11-10 22:57:11,78.2186,15.6401,272.06,69,75,5.66
166,Avarua,CK,2022-11-10 22:57:12,-21.2078,-159.775,299.18,69,100,6.17
167,Peniche,PT,2022-11-10 22:57:12,39.3558,-9.3811,288.4,95,0,3.26
168,Finschhafen,PG,2022-11-10 22:57:13,-6.6024,147.8681,299.88,84,100,1.1
169,Kulhudhuffushi,MV,2022-11-10 22:57:13,6.6221,73.07,300.24,72,93,0.93
170,Hami,CN,2022-11-10 22:57:14,42.8,93.45,274.26,38,21,3.94
171,Cayenne,GF,2022-11-10 22:55:04,4.9333,-52.3333,297.17,94,75,0.0
172,Gorontalo,ID,2022-11-10 22:57:14,0.5412,123.0595,299.43,85,100,0.76
173,Solnechnyy,RU,2022-11-10 22:57:14,50.7214,136.6319,267.58,51,1,1.42
174,Poum,NC,2022-11-10 22:57:15,-20.2333,164.0167,297.59,71,100,5.22
175,Peterhead,GB,2022-11-10 22:57:15,57.5058,-1.7981,289.54,80,100,12.88
176,Nara,JP,2022-11-10 22:57:16,34.6851,135.8049,289.09,72,26,0.26
177,Manacapuru,BR,2022-11-10 22:57:16,-3.2997,-60.6206,302.18,63,97,1.88
178,Yining,CN,2022-11-10 22:57:18,29.0361,114.5636,292.85,72,52,0.48
179,Carnarvon,AU,2022-11-10 22:55:10,-24.8667,113.6333,293.16,62,2,6.81
180,Wajid,SO,2022-11-10 22:58:18,3.8093,43.2471,296.27,82,100,5.24
181,Seymchan,RU,2022-11-10 22:58:18,62.8833,152.4333,243.43,100,99,0.25
182,Port Augusta,AU,2022-11-10 22:58:19,-32.5,137.7667,293.81,58,6,3.97
183,Manga,BF,2022-11-10 22:58:19,11.6636,-1.0731,299.3,24,7,0.28
184,Kruisfontein,ZA,2022-11-10 22:58:19,-34.0033,24.7314,289.75,82,98,6.22
185,Bogo,PH,2022-11-10 22:58:19,11.0517,124.0055,300.07,82,88,2.88
186,Fairbanks,US,2022-11-10 22:58:09,64.8378,-147.7164,268.27,90,100,0.14
187,Svetlogorsk,BY,2022-11-10 22:58:20,52.6333,29.7333,281.22,93,100,4.04
188,Vardo,NO,2022-11-10 22:58:20,70.3705,31.1107,275.14,80,100,5.14
189,Amberley,US,2022-11-10 22:58:21,39.2048,-84.428,292.45,45,100,0.45
190,Antofagasta,CL,2022-11-10 22:58:21,-23.65,-70.4,290.75,78,49,2.61
