,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Mogadishu,SO,299.16,few clouds,2.0371,45.3438,Hotel Juba
431,Qandala,SO,297.18,scattered clouds,11.472000000000001,49.8728,
432,Soyo,AO,297.8,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
439,Gurupi,BR,295.32,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
445,San,ML,299.53,broken clouds,13.3034,-4.8956,Hôtel Teriya
453,Itaberaba,BR,297.67,broken clouds,-12.5275,-40.3069,Araújo Hotel
454,Natal,BR,298.51,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
455,Inirida,CO,298.71,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
456,Yulara,AU,297.33,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
457,Angoche,MZ,297.25,overcast clouds,-16.2325,39.9086,Guest House HESADA
460,Puerto Cabezas,NI,298.57,overcast clouds,14.0351,-83.3888,Cabaña Caribe
466,Kulhudhuffushi,MV,300.47,heavy intensity rain,6.6221,73.07,Haajy Guest House 1
468,Itoman,JP,296.36,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
475,Uvira,CD,295.79,light rain,-3.4067,29.1458,Hotel Suzana
476,Clearwater,US,295.42,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
479,Mahajanga,MG,296.16,thunderstorm,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
480,Ishigaki,JP,299.22,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
489,Banes,CU,298.9,clear sky,20.9625,-75.7186,Hostal Iván y yailet
491,Ilhabela,BR,296.72,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
494,Sibolga,ID,296.93,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
499,Bolobo,CD,294.39,light rain,-2.1667,16.2333,Hotel de Stephen
503,Champerico,GT,300.13,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
507,Damaturu,NG,294.21,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
509,Madarounfa,NE,294.03,overcast clouds,13.3087,7.156000000000001,Madarounfa centre ville
511,Acapulco,MX,301.05,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
515,Basco,PH,299.77,clear sky,20.4487,121.9702,Nathaniel's Lodge
523,Boa Vista,BR,301.14,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
526,Miandrivazo,MG,297.92,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
532,Acajutla,SV,299.5,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
534,La Asuncion,VE,299.69,light rain,11.0333,-63.8628,Colinas de Matasiete
544,Pereira Barreto,BR,296.42,overcast clouds,-20.6383,-51.1092,Hotel Pousada Pantal
548,Phitsanulok,TH,297.86,overcast clouds,16.9167,100.5,
549,Santa Fe,AR,294.27,light rain,-31.6333,-60.7,Conquistador Hotel
552,Axim,GH,298.37,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
555,Lazaro Cardenas,MX,298.82,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
